author_year,doi,site,system,TTD approach,TTD approach additional,Model name,tracer,Tracer influx sampling resolution,Tracer data target (resolution),Hydrometric data target,estimated age metric,Model resolution [h]
Ala-aho et al. (2017),10.5194/hess-21-5089-2017,Krycklan,Catchment,virtual flux tracking,,STARR,O-18,daily,stream (weekly),"streamflow, SWE","full distribution, median age",24
Ala-aho et al. (2017),10.5194/hess-21-5089-2017,Bogus Creek,Catchment,virtual flux tracking,,STARR,O-18,daily,stream (sporadic),"streamflow, SWE","full distribution, median age",24
Ala-aho et al. (2017),10.5194/hess-21-5089-2017,Bruntland Burn,Catchment,virtual flux tracking,,STARR,O-18,sporadic,stream (daily),"streamflow, SWE","full distribution, median age",24
Asadollahi et al. (2020),10.1029/2019WR025539,EPFL campus,Soil column,multiple approaches,SAS and virtual flux tracking on distributed process-based model,"tran-SAS, HYDRUS-1D",FBAs,(controlled experiment),leakage (subdaily),"soil moisture, soil tension, soil leakage","full distribution, mean age",24
Asadollahi et al. (2020),10.1029/2019WR025539,Neuherberg,Soil column,multiple approaches,SAS and virtual flux tracking on distributed process-based model,"tran-SAS, HYDRUS-1D","O-18, H-2",weekly,leakage (weekly),soil leakage,"full distribution, mean age",24
Benettin et al. (2013),10.1002/wrcr.20309,Hupsel Brook,Catchment,well/partially-mixed compartments,2 compartments,NA,Cl,"(no sampling, estimation from regional fertilizer use)","stream (irregular, weekly)",streamflow,"full distribution, mean age",1
Benettin et al. (2015a),10.1002/2014WR016600,"Plynlimon, Upper Hafren",Catchment,well/partially-mixed compartments,2 compartments,NA,Cl,subdaily,stream (subdaily),streamflow,"full distribution, marginal distribution, mean age",1
Benettin et al. (2015b),10.1002/2015WR017552,Hubbard Brook,Catchment,well/partially-mixed compartments,3 compartments,NA,"H-2, Si, Na",fortnightly,"stream (weekly, fortnightly)",streamflow,"full distribution, median age",1
Benettin et al. (2017),10.1002/2016WR020117,Bruntland Burn,Catchment,SAS,1 compartment,tran-SAS,H-2,daily,stream (daily),NA,"full distribution, median age",1
Benettin et al. (2020),10.1002/hyp.13781,Kervidy-Naizin,Catchment,SAS,1 compartment,tran-SAS,Cl,"(no sampling, estimation from regional fertilizer use)",stream (daily),NA,"full distribution, young water fractions",24
Bertuzzo et al. (2013),10.1016/j.advwatres.2012.11.007,Aabach–Mönchsaltorf,Catchment,well/partially-mixed compartments,2 compartments,NA,Atrazine,NA,"stream (event-based, irregular)",streamflow,full distribution,24
Birkel and Soulsby (2016),10.1002/hyp.10941,Caño Seco,Catchment,virtual flux tracking,,NA,H-2,daily,stream (daily),streamflow,"marginal distribution, mean age",24
Birkel et al. (2015),10.1002/hyp.10414,Girnock Burn,Catchment,virtual flux tracking,,NA,O-18,weekly,stream (weekly),streamflow,mean age,24
Birkel et al. (2020),10.1029/2019WR026175,Howard River,Catchment,well/partially-mixed compartments,,SAVTAM,"H-2, DOC",daily,stream (weekly to monthly),streamflow,median age,24
Cain et al. (2019),10.1002/hyp.13518,HJ Andrews WS 10,Catchment,well/partially-mixed compartments,4 compartments,NA,Cl,weekly,stream (irregular),streamflow (multiple signatures),"full distribution, mean age",24
Corria et al. (2020),10.1002/hyp.13925,San Lorencito river,Catchment,virtual flux tracking,,STARRtropics,H-2,fortnightly to monthly,stream (event based to weekly),streamflow,mean age,1
Davies et al. (2013),10.1002/wrcr.20377,Gårdsjön G1,Catchment,particle tracking,,MIPs,O-18,daily and fortnightly,stream (event based to weekly),streamflow,full distribution,24
Douinot et al. (2019),10.1002/hyp.13480,Lake Stechlin,Soil profile,virtual flux tracking,,EcH2O-iso,Cl,biweekly,Soil water (biweekly),"soil moisture, sap flux",mean age,24
Gillefalk et al. (2021),10.5194/hess-25-3635-2021,Steglitz Urban Ecohydrological Observatory,Catchment,virtual flux tracking,,EcH2O-iso,"O-18, H-2",monthly to daily,Soil water (monthly),soil moisture,mean age,24
Harman (2015),10.1002/2014WR015707,"Plynlimon, Hafren",Catchment,SAS,1 compartment,rSAS,Cl,daily,stream (irregular),NA,full distribution,24
Hrachowitz et al. (2013),10.5194/hess-17-533-2013,Allt Coire nan Con,Catchment,well/partially-mixed compartments,3 compartments,DYNAMITE,Cl,weekly/fortnightly,"stream (weekly, fortnightly)",streamflow (multiple signatures),"full distribution, marginal distribution",24
Hrachowitz et al. (2013),10.5194/hess-17-533-2013,Loch Ard Burn 11,Catchment,well/partially-mixed compartments,4 compartments,DYNAMITE,Cl,weekly/fortnightly,"stream (weekly, fortnightly)",streamflow (multiple signatures),"full distribution, marginal distribution",24
Hrachowitz et al. (2013),10.5194/hess-17-533-2013,Allt a'Mharcaidh,Catchment,well/partially-mixed compartments,4 compartments,DYNAMITE,Cl,weekly/fortnightly,"stream (weekly, fortnightly)",streamflow (multiple signatures),"full distribution, marginal distribution",24
Hrachowitz et al. (2015),10.1002/hyp.10546,Kerbernez,Catchment,well/partially-mixed compartments,6 compartments,DYNAMITE,Cl,fortnightly,stream (irregular),streamflow (multiple signatures),"full distribution, marginal distribution, median age",24
Hrachowitz et al. (2015),10.1002/hyp.10546,Kerrien,Catchment,well/partially-mixed compartments,6 compartments,DYNAMITE,Cl,fortnightly,stream (irregular),streamflow (multiple signatures),"full distribution, marginal distribution, median age",24
Hrachowitz et al. (2021),10.5194/hess-25-4887-2021,Wuestebach,Catchment,SAS,7 compartments,DYNAMITE,O-18,weekly/daily,stream (weekly),streamflow (multiple signatures),"full distribution, young water fraction",24
Jutebring Sterte (2021),10.5194/hess-25-2133-2021,Krycklan,Catchment,particle tracking,,Mike SHE,O-18,daily,,"streamflow, groundwater levels",mean age,24
Kim et al. (2016),10.1002/2016WR018620,"miniLEO, Landscape Evolution Observatory, Biosphere 2",Mini Hillslope,multiple approaches,SAS and direct observation PERTH,NA,"Cl, H-2",(controlled experiment),seepage flow (hourly),NA,"full distribution, median age",1
Klaus et al. (2015),10.1002/2014WR016247,HJ Andrews WS 10,Catchment,particle tracking,lumped model,DCMS,O-18,event based to weekly,stream (event based to weekly),NA,"mean age, snapshots of age distribution",24
Kuppel et al. (2018),10.5194/gmd-11-3045-2018,Bruntland Burn,Catchment,virtual flux tracking,,EcH2O-iso,"H-2, lc-excess",daily,"stream (daily), soil water (monthly)","streamflow, soil moisture, sap flux",mean age,24
Kuppel et al. (2020),10.1029/2020GL088897,Bruntland Burn,Catchment,virtual flux tracking,,EcH2O-iso,"H-2, lc-excess",daily,"stream (daily), soil water (monthly)","streamflow, soil moisture, sap flux",mean age,24
Lutz et al. (2017),10.5194/hess-21-5243-2017,Alteckendorf,Catchment,SAS,,NA,"S-metolachlor, acetochlor","(no sampling, estimation from surveys)","stream (event-based, irregular)",streamflow,full distribution (computed but not reported),24
McGuire et al. (2007),10.1016/j.advwatres.2006.07.004,HJ Andrews WS 10,Hillslope,well/partially-mixed compartments,2 compartments,Hill-Vi,Br,(controlled experiment),throughflow,throughflow,snapshots of age dsitributions,1
Neill et al. (2021),10.5194/hess-2021-158,Bruntland Burn,Catchment,virtual flux tracking,,EcH2O-iso,"H-2, lc-excess",daily,"stream (daily), soil water (monthly), groundwater (sporadic)","streamflow, soil moisture, sap flux",mean age,24
Pangle et al. (2017),10.1002/2016WR019901,"miniLEO, Landscape Evolution Observatory, Biosphere 2",Mini Hillslope,virtual flux tracking,,HYDRUS 2D/3D,Cl,(controlled experiment),seepage flow (hourly),"seepage flow, water table (3 locations), total water storage",full distribution,
Piovano et al. (2018),10.1002/hyp.13238,Plastic-1,Catchment,virtual flux tracking,,STARR,H-2,about weekly,stream (every 12 days),"streamflow, SWE","marginal distribution, mean age",24
Piovano et al. (2019),10.5194/hess-23-2507-2019,Granger Basin,Catchment,virtual flux tracking,,STARR,H-2,about weekly,stream (every other day),"streamflow, SWE",mean age,24
Queloz et al. (2015),10.1002/2014WR016508,EPFL campus,Soil column,SAS,2 compartments,NA,FBAs,(controlled experiment),leakage (subdaily),NA,"full distribution, mean age",1
Remondi et al. (2018),10.1002/2017wr021689,"Plynlimon, Hafren",Catchment,virtual flux tracking,"distributed, process-based model",WATET,Cl,fortnightly and subdaily,stream (subdaily),streamflow,"full distribution, young water fraction",1
Rodriguez and Klaus (2019),10.1029/2019WR024973,Weierbach,Catchment,SAS,,none,H-2,sub-daily to bi-weekly,stream (sub-daily),none,median age,4
Rodriguez et al. (2018),10.1029/2017wr021964,HJ Andrews WS 10,Catchment,well/partially-mixed compartments,2 compartments,none,O-18,sub-daily to weekly,stream (sub-daily to weekly),streamflow,"full distribution, mean, median, water fractions",1
Rodriguez et al. (2020),10.1002/hyp.13770,EPFL campus,Soil column,SAS,1 compartment,tran-SAS,FBAs,(controlled experiment),leakage (subdaily),NA,"full distribution, marginal distribution",4
Rodriguez et al. (2021),10.5194/hess-25-401-2021,Weierbach,Catchment,SAS,,none,"H-2, H-3",sub-daily to bi-weekly (monthly for 3H),"stream (H-2, sub-daily; H-3, monthly)",none,"full distribution, mean, median, percentiles, water fractions",4
Smith et al. (2019),10.5194/hess-23-3319-2019,Svartberget,Catchment,virtual flux tracking,,EcH2O-iso,H-2,biweekly,"stream (biweekly), soil water (9 data points)","streamflow, soil moisture",mean age,24
Smith et al. (2020a),10.1016/j.advwatres.2020.103586,Bruntland Burn,Soil profile,SAS,,SAS,"O-18, H-2, lc-excess",daily,"xylem (monthly), soil water (monthly), groundwater (sporadic)","soil moisture, sap flow","full distribution, median age",24
Smith et al. (2020b),10.1002/hyp.13838,Demnitzer Millcreek,Soil profile,virtual flux tracking,,EcH2O-iso,"O-18, H-2, lc-excess",daily,Soil water (monthly),"soil moisture, ET, sap flow, LAI","full distribution, mean age",24
Smith et al. (2021),10.5194/hess-25-2239-2021,Demnitzer Millcreek,Catchment,virtual flux tracking,,EcH2O?iso,H-2,daily,"stream (bi-weekly), soil water (monthly), groundwater (sporadic)","streamflow, soil moisture, sap flux",mean age,24
Soulsby et al. (2015a),10.1002/hyp.10500,Burn of Bennie,Catchment,virtual flux tracking,,NA,H-2,daily,stream (daily),streamflow,"marginal distribution, mean age",24
Soulsby et al. (2015b),10.1002/2015WR017888,Bruntland Burn,Catchment,virtual flux tracking,,NA,H-2,daily,stream (daily),streamflow,mean age,24
Sprenger et al. (2015),10.5194/hess-19-2617-2015,Hartheim,Soil profile,virtual flux tracking,"distributed, process-based model",HYDRUS-1D,H-2,fortnightly,Soil water (12 snapshots),soil moisture,median age,24
Sprenger et al. (2015),10.5194/hess-19-2617-2015,Eichstetten,Soil profile,virtual flux tracking,,HYDRUS-1D,H-2,fortnightly,Soil water (3 snapshots),soil moisture,median age,24
Sprenger et al. (2016),10.1016/j.agee.2016.02.014,Kaiserstuhl,Soil profile,virtual flux tracking,,HYDRUS-1D,H-2,event based to monthly,soil water (1 snapshot),NA,median age,24
Sprenger et al. (2016),10.1002/2015WR018077,Attert,Soil profile,virtual flux tracking,,HYDRUS-1D,H-2,event based to fortnightly,soil water (2 snapshots),soil moisture,"full distribution, median age",24
Sprenger et al. (2018),10.5194/hess-22-3965-2018,Bruntland Burn,Soil profile,virtual flux tracking,,SWIS,H-2,daily,Soil water (monthly),soil moisture,"full distribution, median age",24
van der Velde et al. (2010),10.1029/2010WR009105,Hupsel Brook,Catchment,particle tracking,,MODFLOW,"Cl, NO3","(no sampling, estimate from regional fertilizer use)","stream (irregular, weekly)","discharge, groundwater level",full distribution,24
van der Velde et al. (2015),10.1002/hyp.10372,Gårdsjön G1,Catchment,SAS,,NA,O-18,daily,stream (event based to weekly),streamflow,full distribution,not reported
van der Velde et al. (2015),10.1002/hyp.10372,Marshall Gulch,Catchment,SAS,,NA,H-2,event based to weekly,stream (event based to daily),streamflow,full distribution,not reported
van Huijgevoort et al. (2016),10.1002/hyp.10902,Bruntland Burn,Catchment,virtual flux tracking,,STARR,H-2,daily,stream (daily),streamflow,"full distribution, median age",24
Visser et al. (2019),10.1029/2018wr023665,"Southern Sierra Critical Zone Observatory, P301",Catchment,SAS,,NA,"O-18, H-3, Na-22, S-35",variable (32 data points),stream (25 data points),NA,"full distribution, marginal distribution",24
Wilusz et al. (2017),10.1002/2017wr020894,"Plynlimon, Hafren",Catchment,SAS,,rSAS,Cl,weekly,stream (weekly),NA,full distribution,24
Wilusz et al. (2017),10.1002/2017wr020894,"Plynlimon, Tanllwyth",Catchment,SAS,,rSAS,Cl,weekly,stream (weekly),NA,full distribution,24
Yang et al. (2021),10.1029/2020WR029094,Schäfertal,Catchment,virtual flux tracking,,EcH2O-iso,"O-18, H-2",monthly to daily,stream (monthly yo daily),"streamflow, soil moisture",mean age,24
Zhang et al. (2019),10.5194/hess-23-51-2019,Chenqi,Catchment,virtual flux tracking,,NA,H-2,hourly,stream (daily to weekly; event based),streamflow,"marginal distribution, mean age",1
Zhang et al. (2020),10.1002/hyp.13829,Chenqi,Catchment,virtual flux tracking,,NA,H-2,hourly,stream (daily to weekly; event based),streamflow,"full distribution, young water fraction",1
Zhang et al. (2021),10.1016/j.jhydrol.2021.126785,Chenqi,Catchment,SAS,,tran-SAS,H-2,daily,"stream (daily), springs (daily)",NA,"full distribution, median age",24
Brinkmann et al. (2018),10.1111/nph.15255,Lägeren,Soil profile,virtual flux tracking,"distributed, process-based model",HYDRUS-1D,"O-18, H-2",monthly,soil (bimonthly),soil moisture,"full distribution, mean age",24
Knapp et al. (2019),10.5194/hess-23-4367-2019,"Plynlimon, Upper Hafren",Catchment,Ensemble hydrograph separation,,NA,"O-18, H-2, Cl",subdaily,stream (subdaily),NA,"New water Fraction, marginal age distribution",7
Knapp et al. (2019),10.5194/hess-23-4367-2019,"Plynlimon, Hafren",Catchment,Ensemble hydrograph separation,,NA,"O-18, H-2, Cl",weekly,stream (weekly),NA,"New water Fraction, marginal age distribution",168
Knapp et al. (2019),10.5194/hess-23-4367-2019,"Plynlimon, Tanllwyth",Catchment,Ensemble hydrograph separation,,NA,"O-18, H-2, Cl",weekly,stream (weekly),NA,"New water Fraction, marginal age distribution",168
Buzacott et al. (2020),10.1002/hyp.13880,Corin,Catchment,SAS,,NA,"O-18, H-2",subdaily to monthly,stream (subdaily to monthly),NA,"full distribution, mean",24
Dunn et al. (2010),10.1002/hyp.7560,Baldardo Burn,Catchment,virtual flux tracking,"distributed, conceptual model",STREAM,H-2,daily,stream (daily),streamflow,full distribution,24
McMillan et al. (2012),10.1029/2011WR011688,Loch Ard Burn 10,Catchment,well/partially-mixed compartments,,NA,Cl,weekly,stream (weekly),streamflow,"marginal distribution, mean age",0.25
Kaandorp et al. (2021),10.5194/hess-25-3691-2021,Springendalse Beek,Catchment,particle tracking,"distributed, process-based model",MODFLOW,"Cl, NO3, H-3","(no sampling, estimate from various sources)","stream (irregular, about monthly)","streamflow, groundwater level","full distribution, marginal, water fractions",720
Lee Stevenson et al. (2021),10.1002/hyp.14223,Bruntland Burn,Catchment,virtual flux tracking,,D-Sat,H-2,daily,stream (daily),streamflow,"marginal distribution, mean age",not reported
Mayer-Anhalt et al. (2022),10.1002/hyp.14508,Quebrada Grande,Catchment,multiple approaches,virtual flux tracking and Ensemble hydrograph separation,NA,"O-18, H-2",daily,stream (daily),streamflow,"marginal distribution, mean age",not reported
Kim et al. (2022),10.1029/2020WR028959,"LEO hillslopes (East, West), Landscape Evolution Observatory, Biosphere 2",Hillslope,direct measurement,PERTH,NA,"H-2, Cl, Br",variable (all events),seepage flow (hourly),NA,full distribution,NA
Meira Neto et al. (2022),10.1029/2021WR030950,"miniLEO, Landscape Evolution Observatory, Biosphere 2",Mini Hillslope,multiple approaches,"PERTH, tracer imaging",,"O-18, H-2, Cl",variable (all events),seepage flow (hourly),NA,full distribution,NA
Nguyen et al. (2021),10.1029/2020WR028490,"Selke, Silberhütte",Catchment,SAS,partly grid-based and lumped,mHM-SAS,NO3,"(no sampling, estimation from regional fertilizer use)",streamflow (weekly),streamflow,"full distribution, median age",24
Nguyen et al. (2022),10.1029/2021WR030797,"Selke, Silberhütte",Catchment,SAS,partly grid-based and lumped,mHM-SAS,NO3,"(no sampling, estimation from regional fertilizer use)",streamflow (weekly),streamflow,"full distribution, median age",24
Nguyen et al. (2022),10.1029/2021WR030797,"Selke, Meisdorf",Catchment,SAS,partly grid-based and lumped,mHM-SAS,NO3,"(no sampling, estimation from regional fertilizer use)",streamflow (weekly),streamflow,"full distribution, median age",24
Nguyen et al. (2022),10.1029/2021WR030797,"Selke, Hausneindorf",Catchment,SAS,partly grid-based and lumped,mHM-SAS,NO3,"(no sampling, estimation from regional fertilizer use)",streamflow (weekly),streamflow,"full distribution, median age",24
Lapides et al. (2022),10.1029/2021WR031665,Dry Creek,Catchment,SAS,,tran-SAS,H-2,daily,stream (daily),NA,"full distribution, median age, marginal age distribution",4
Asadollahi et al. (2022),10.1029/2021WR030698,EPFL campus,Soil column,multiple approaches,SAS and virtual flux tracking on distributed process-based model,"tran-SAS, HYDRUS-1D","O-18, H-2",variable (all events),"leakage (subdaily), transpiration (subweekly)","soil moisture, soil tension, soil leakage","full distribution, mean age",24
